epoch,phase,train_loss,val_ter,val_acc,lr
1,2,1.3586901806687053,0.16487263537030764,83.51273646296924,5.206205613389499e-05
2,2,1.1354853673592995,0.14241438080942614,85.75856191905739,9.999999953776411e-05
3,2,1.0829701544226784,0.10954026453259084,89.04597354674092,9.982866343400841e-05
4,2,1.0475465713166876,0.11925282623206859,88.07471737679315,9.931694839960119e-05
5,2,1.0244158178960021,0.12522208372151808,87.47779162784819,9.846834996709969e-05
6,2,1.0059503051207255,0.09522816895331766,90.47718310466823,9.728866492426538e-05
7,2,0.9918883460524835,0.10200107627187706,89.7998923728123,9.578595171612573e-05
8,2,0.9806614006428342,0.0903675841966124,90.96324158033876,9.397047539762347e-05
9,2,0.9575172306871728,0.06882199240867408,93.11780075913259,3.325281510054004e-05
10,2,0.942197751940081,0.08026071950711408,91.97392804928859,3.3012564050728916e-05
11,2,0.9335141200572252,0.06451274664006557,93.54872533599344,3.2614893715569266e-05
12,2,0.9277660391832653,0.06047121467885784,93.95287853211421,3.20636338777774e-05
13,2,0.9225835388428286,0.05341628498136397,94.6583715018636,3.136409347094054e-05
14,2,0.9186056544514078,0.06675928395626199,93.3240716043738,3.052300945158421e-05
15,2,0.9147424992958182,0.054886578476867294,94.51134215231328,2.9548481918598095e-05
16,2,0.9112193580520781,0.05124075727242089,94.8759242727579,2.84498961048558e-05
17,2,0.9088426064699888,0.04562393417923412,95.43760658207658,2.723783199229176e-05
18,2,0.9054773394018412,0.04561742498770773,95.43825750122923,2.59239624208916e-05
19,2,0.9032934127669585,0.04721467107951258,95.27853289204874,2.4520940672862076e-05
20,2,0.9011042151404055,0.05050937294361165,94.94906270563884,2.3042278614606416e-05
21,2,0.899564434823237,0.044551292095039725,95.54487079049603,2.1502216570064526e-05
22,2,0.897610140670287,0.041874361280332686,95.81256387196673,1.9915586178608896e-05
23,2,0.8960553878232053,0.04621846034215649,95.37815396578435,1.8297667558249636e-05
24,2,0.894635474995563,0.045934396491465766,95.40656035085343,1.6664042149745095e-05
25,2,0.893441024187364,0.03806973862606253,96.19302613739374,1.503044265880966e-05
26,2,0.8922128761677366,0.04717128848976073,95.28287115102393,1.3412601541557361e-05
27,2,0.890948697924614,0.0450627154600185,95.49372845399814,1.1826099492349252e-05
28,2,0.8903409873968676,0.03591680300638002,96.408319699362,1.0286215393189446e-05
29,2,0.8894110059267596,0.04067863765676931,95.93213623432307,8.807779169739126e-06
30,2,0.8886391258749523,0.04266208711464834,95.73379128853516,7.4050289710255715e-06
31,2,0.8877249713987112,0.04010885160818471,95.98911483918154,6.091474048283659e-06
32,2,0.8873933458602742,0.032244687873938374,96.77553121260615,4.879764653481546e-06
33,2,0.8869652824574396,0.04175262629356629,95.82473737064338,3.7815702104789125e-06
34,2,0.886391091699663,0.03643596392835972,96.35640360716403,2.8074669320960283e-06
35,2,0.8862180886299986,0.035244179914244736,96.47558200857553,1.966835965402738e-06
36,2,0.8859055872614446,0.03156678943512912,96.84332105648708,1.2677730461439226e-06
37,2,0.8858496739872193,0.033876122636858304,96.61238773631416,7.170105323787139e-07
38,2,0.8856423115847927,0.03673768242575646,96.32623175742435,3.1985256819208494e-07
39,2,0.8855402201021972,0.039643514637646884,96.03564853623531,8.012400188778173e-08
40,2,0.8857127269239802,0.03620116014571934,96.37988398542807,1.3355060827638703e-10
