epoch,phase,train_loss,val_ter,val_acc,lr
1,2,0.933125653368904,0.014072206081219365,98.59277939187805,3.296718508280678e-05
2,2,0.9246577505759377,0.011489180464288498,98.85108195357115,3.188863148589316e-05
3,2,0.9251653947294715,0.01222802796332208,98.77719720366778,3.0144807896941367e-05
4,2,0.9188894366516787,0.009746612320141733,99.02533876798583,2.7811927774582575e-05
5,2,0.9157982212018202,0.012427607795254854,98.75723922047452,2.499194917456469e-05
6,2,0.9169697524073289,0.009685816634346048,99.0314183365654,2.1808118693467132e-05
7,2,0.9123619460167094,0.0060546686991920255,99.3945331300808,1.8399585001027554e-05
8,2,0.9125291711506359,0.009811267492555524,99.01887325074445,1.4915317375564886e-05
9,2,0.9091346837620047,0.009239323799169707,99.07606762008302,1.15075950316829e-05
10,2,0.908462351656215,0.008327751009039042,99.1672248990961,8.325351787875278e-06
11,2,0.9070683982283037,0.009072649186501178,99.09273508134989,5.507666943993685e-06
12,2,0.9052883536420404,0.008303418417270409,99.16965815827295,3.1776868484677276e-06
13,2,0.906992603113307,0.008303418417270409,99.16965815827295,1.4372428119568522e-06
14,2,0.9047467136446805,0.007013095836625249,99.29869041633748,3.624005904336574e-07
15,2,0.9047075720394359,0.007013095836625249,99.29869041633748,1.359466439229483e-10
