epoch,phase,train_loss,val_ter,val_acc,lr
1,2,1.0694074344913862,0.04926441202167411,95.07355879783259,5.222110837840728e-05
2,2,0.9543893079311527,0.033754493133285705,96.62455068667143,9.999999415642537e-05
3,2,0.9309598653637178,0.025154425144747722,97.48455748552523,9.982722328315511e-05
4,2,0.9177022119711714,0.018563216353538935,98.1436783646461,9.931408331692396e-05
5,2,0.9119359701000459,0.02293455334987593,97.7065446650124,9.846407952401836e-05
6,2,0.9072902638312669,0.016787117452440034,98.321288254756,9.728301829223639e-05
7,2,0.9057547993827284,0.013591093117408906,98.6408906882591,9.577896746737141e-05
8,2,0.9013812876584237,0.01605222734254992,98.394777265745,9.396220124164476e-05
9,2,0.89901715377618,0.011330128205128204,98.86698717948718,9.184512997055487e-05
10,2,0.896246898243999,0.012088588040675328,98.79114119593247,8.944221539756528e-05
11,2,0.8958163198671842,0.013546794871794872,98.64532051282052,8.676987186573284e-05
12,2,0.8935541472239801,0.016292313079077785,98.37076869209223,8.38463541911007e-05
13,2,0.8900857749041061,0.010705128205128206,98.92948717948717,3.322730928666634e-05
14,2,0.9311629240972954,0.016011450044208664,98.39885499557913,3.291302997635294e-05
15,2,0.9353930535372238,0.011048265460030167,98.89517345399699,3.239444405943269e-05
16,2,0.9305600987540351,0.011038461538461539,98.89615384615385,3.1678073054701425e-05
17,2,0.9339561908565767,0.010214932126696831,98.97850678733032,3.0772925743191776e-05
18,2,0.9351621925482276,0.010621794871794871,98.93782051282052,2.969038487752467e-05
19,2,0.9401458676098383,0.007788461538461538,99.22115384615384,2.8444064037190726e-05
20,2,0.9405301032010575,0.008788461538461538,99.12115384615385,2.7049636429889327e-05
21,2,0.940020323496813,0.011288461538461539,98.87115384615385,2.552463779184804e-05
22,2,0.9407826846803141,0.00978846153846154,99.02115384615384,2.388824586576505e-05
23,2,0.9485769948067023,0.009893724696356276,99.01062753036437,2.216103922956756e-05
24,2,0.9508308353479843,0.008621794871794873,99.13782051282053,2.0364738508854395e-05
25,2,0.9574786675603766,0.008788461538461538,99.12115384615385,1.8521933227426466e-05
26,2,0.959421395906928,0.010893724696356275,98.91062753036437,1.6655797730918268e-05
27,2,0.9613576179359391,0.007788461538461538,99.22115384615384,1.4789799755955419e-05
28,2,0.9553666407601875,0.008788461538461538,99.12115384615385,1.2947405309750328e-05
29,2,0.9702394224746883,0.011865384615384616,98.81346153846154,1.1151783571446177e-05
30,2,0.9715080613281295,0.013403846153846155,98.65961538461538,9.425515526246147e-06
31,2,0.9739244015593278,0.008788461538461538,99.12115384615385,7.790309996422671e-06
32,2,0.982515661688576,0.008788461538461538,99.12115384615385,6.266730640281637e-06
33,2,0.9933828850935774,0.011865384615384616,98.81346153846154,4.873937352227838e-06
34,2,0.9797965413645694,0.011865384615384616,98.81346153846154,3.6294453159760412e-06
35,2,0.9772682214340969,0.011865384615384616,98.81346153846154,2.5489047409532235e-06
36,2,0.9729475344133656,0.011865384615384616,98.81346153846154,1.645904051834534e-06
37,2,0.9731989813129804,0.016480769230769233,98.35192307692307,9.317990062188471e-07
38,2,0.974487058251922,0.011865384615384616,98.81346153846154,4.1556988938817416e-07
39,2,0.9664618414744996,0.011865384615384616,98.81346153846154,1.0370858200977546e-07
40,2,0.9663339096900315,0.011865384615384616,98.81346153846154,1.3692097007560238e-10
